locality,canton
Altstätten SG,Appenzell Rhodes-Extérieures
Bühler,Appenzell Rhodes-Extérieures
Degersheim,Appenzell Rhodes-Extérieures
Eggersriet,Appenzell Rhodes-Extérieures
Gais,Appenzell Rhodes-Extérieures
Gonten,Appenzell Rhodes-Extérieures
Gossau SG,Appenzell Rhodes-Extérieures
Grub AR,Appenzell Rhodes-Extérieures
Grub SG,Appenzell Rhodes-Extérieures
Heiden,Appenzell Rhodes-Extérieures
Herisau,Appenzell Rhodes-Extérieures
Hundwil,Appenzell Rhodes-Extérieures
Lustmühle,Appenzell Rhodes-Extérieures
Lutzenberg,Appenzell Rhodes-Extérieures
Marbach SG,Appenzell Rhodes-Extérieures
Niederteufen,Appenzell Rhodes-Extérieures
Oberegg,Appenzell Rhodes-Extérieures
Rehetobel,Appenzell Rhodes-Extérieures
Reute AR,Appenzell Rhodes-Extérieures
Schachen b. Herisau,Appenzell Rhodes-Extérieures
Schachen b. Reute,Appenzell Rhodes-Extérieures
Schwellbrunn,Appenzell Rhodes-Extérieures
Schönengrund,Appenzell Rhodes-Extérieures
Speicher,Appenzell Rhodes-Extérieures
Speicherschwendi,Appenzell Rhodes-Extérieures
St. Gallen,Appenzell Rhodes-Extérieures
Stein AR,Appenzell Rhodes-Extérieures
Teufen AR,Appenzell Rhodes-Extérieures
Thal,Appenzell Rhodes-Extérieures
Trogen,Appenzell Rhodes-Extérieures
Urnäsch,Appenzell Rhodes-Extérieures
Wald AR,Appenzell Rhodes-Extérieures
Waldstatt,Appenzell Rhodes-Extérieures
Walzenhausen,Appenzell Rhodes-Extérieures
Wienacht-Tobel,Appenzell Rhodes-Extérieures
Wolfhalden,Appenzell Rhodes-Extérieures
Appenzell,Appenzell Rhodes-Intérieures
Appenzell Eggerstanden,Appenzell Rhodes-Intérieures
Appenzell Enggenhütten,Appenzell Rhodes-Intérieures
Appenzell Meistersrüte,Appenzell Rhodes-Intérieures
Appenzell Schlatt,Appenzell Rhodes-Intérieures
Appenzell Steinegg,Appenzell Rhodes-Intérieures
Berneck,Appenzell Rhodes-Intérieures
Brülisau,Appenzell Rhodes-Intérieures
Bühler,Appenzell Rhodes-Intérieures
Büriswilen,Appenzell Rhodes-Intérieures
Frümsen,Appenzell Rhodes-Intérieures
Gais,Appenzell Rhodes-Intérieures
Gonten,Appenzell Rhodes-Intérieures
Gontenbad,Appenzell Rhodes-Intérieures
Haslen AI,Appenzell Rhodes-Intérieures
Jakobsbad,Appenzell Rhodes-Intérieures
Lüchingen,Appenzell Rhodes-Intérieures
Niederteufen,Appenzell Rhodes-Intérieures
Oberegg,Appenzell Rhodes-Intérieures
Schwende,Appenzell Rhodes-Intérieures
Teufen AR,Appenzell Rhodes-Intérieures
Urnäsch,Appenzell Rhodes-Intérieures
Walzenhausen,Appenzell Rhodes-Intérieures
Wasserauen,Appenzell Rhodes-Intérieures
Weissbad,Appenzell Rhodes-Intérieures
Wolfhalden,Appenzell Rhodes-Intérieures
Aarau,Argovie
Aarau Rohr,Argovie
Aarburg,Argovie
Abtwil AG,Argovie
Aettenschwil,Argovie
Alikon,Argovie
Ammerswil AG,Argovie
Anglikon,Argovie
Aristau,Argovie
Arni AG,Argovie
Asp,Argovie
Attelwil,Argovie
Auenstein,Argovie
Auw,Argovie
Bad Zurzach,Argovie
Baden,Argovie
Baldingen,Argovie
Ballwil,Argovie
Barmelweid,Argovie
Beinwil (Freiamt),Argovie
Beinwil am See,Argovie
Bellikon,Argovie
Benzenschwil,Argovie
Bergdietikon,Argovie
Berikon,Argovie
Besenbüren,Argovie
Bettwil,Argovie
Biberstein,Argovie
Birmenstorf AG,Argovie
Birr,Argovie
Birrhard,Argovie
Birrwil,Argovie
Boniswil,Argovie
Boswil,Argovie
Bottenwil,Argovie
Bremgarten AG,Argovie
Brittnau,Argovie
Brugg AG,Argovie
Brunegg,Argovie
Buchs AG,Argovie
Burg AG,Argovie
Buttwil,Argovie
Böbikon,Argovie
Böttstein,Argovie
Bözberg,Argovie
Bözen,Argovie
Bünzen,Argovie
Büttikon AG,Argovie
Densbüren,Argovie
Dietikon,Argovie
Dietwil,Argovie
Dintikon,Argovie
Dottikon,Argovie
Dättwil AG,Argovie
Döttingen,Argovie
Dürrenäsch,Argovie
Effingen,Argovie
Eggenwil,Argovie
Egliswil,Argovie
Ehrendingen,Argovie
Eiken,Argovie
Elfingen,Argovie
Endingen,Argovie
Ennetbaden,Argovie
Erlinsbach,Argovie
Etzgen,Argovie
Fahrwangen,Argovie
Fenkrieden,Argovie
Fischbach-Göslikon,Argovie
Fisibach,Argovie
Fislisbach,Argovie
Freienwil,Argovie
Frick,Argovie
Full-Reuenthal,Argovie
Gansingen,Argovie
Gebenstorf,Argovie
Geltwil,Argovie
Gipf-Oberfrick,Argovie
Glashütten,Argovie
Gontenschwil,Argovie
Gränichen,Argovie
Habsburg,Argovie
Hallwil,Argovie
Hausen AG,Argovie
Hellikon,Argovie
Hemmiken,Argovie
Hendschiken,Argovie
Hermetschwil-Staffeln,Argovie
Hertenstein AG,Argovie
Herznach,Argovie
Hettenschwil,Argovie
Hilfikon,Argovie
Hirschthal,Argovie
Holderbank AG,Argovie
Holziken,Argovie
Hornussen,Argovie
Hottwil,Argovie
Hunzenschwil,Argovie
Hägglingen,Argovie
Inwil,Argovie
Islisberg,Argovie
Ittenthal,Argovie
Jonen,Argovie
Kaiseraugst,Argovie
Kaiserstuhl AG,Argovie
Kaisten,Argovie
Kallern,Argovie
Killwangen,Argovie
Kirchdorf AG,Argovie
Kirchleerau,Argovie
Kleindöttingen,Argovie
Kleinwangen,Argovie
Klingnau,Argovie
Kloster Fahr,Argovie
Koblenz,Argovie
Kölliken,Argovie
Künten,Argovie
Küttigen,Argovie
Laufenburg,Argovie
Leibstadt,Argovie
Leimbach AG,Argovie
Lengnau AG,Argovie
Lenzburg,Argovie
Leuggern,Argovie
Leutwil,Argovie
Lupfig,Argovie
Magden,Argovie
Mandach,Argovie
Meienberg,Argovie
Meisterschwanden,Argovie
Mellikon,Argovie
Mellingen,Argovie
Menziken,Argovie
Merenschwand,Argovie
Mettau,Argovie
Moosleerau,Argovie
Muhen,Argovie
Mumpf,Argovie
Murgenthal,Argovie
Muri AG,Argovie
Mägenwil,Argovie
Möhlin,Argovie
Mönthal,Argovie
Möriken AG,Argovie
Mühlau,Argovie
Mühlethal,Argovie
Mülligen,Argovie
Münchwilen AG,Argovie
Nesselnbach,Argovie
Neuenhof,Argovie
Niederlenz,Argovie
Niederrohrdorf,Argovie
Niederwil AG,Argovie
Nussbaumen AG,Argovie
Oberentfelden,Argovie
Oberflachs,Argovie
Oberhof,Argovie
Oberhofen AG,Argovie
Oberkulm,Argovie
Oberlunkhofen,Argovie
Obermumpf,Argovie
Oberrohrdorf,Argovie
Oberrüti,Argovie
Oberwil-Lieli,Argovie
Oeschgen,Argovie
Oftringen,Argovie
Olsberg,Argovie
Olten,Argovie
Othmarsingen,Argovie
Pfaffnau,Argovie
Reinach AG,Argovie
Reitnau,Argovie
Rekingen AG,Argovie
Remetschwil,Argovie
Remigen,Argovie
Rheinfelden,Argovie
Rheinsulz,Argovie
Rieden AG,Argovie
Rietheim,Argovie
Riken AG,Argovie
Riniken,Argovie
Roggwil BE,Argovie
Rombach,Argovie
Rothrist,Argovie
Rottenschwil,Argovie
Rudolfstetten,Argovie
Rupperswil,Argovie
Rüfenach AG,Argovie
Rümikon AG,Argovie
Rütihof,Argovie
Safenwil,Argovie
Sarmenstorf,Argovie
Schafisheim,Argovie
Scherz,Argovie
Schinznach Bad,Argovie
Schinznach Dorf,Argovie
Schlossrued,Argovie
Schmiedrued,Argovie
Schneisingen,Argovie
Schupfart,Argovie
Schwaderloch,Argovie
Schöftland,Argovie
Seengen,Argovie
Seon,Argovie
Siggenthal Station,Argovie
Siglistorf,Argovie
Sins,Argovie
Sisseln AG,Argovie
Spreitenbach,Argovie
St. Urban,Argovie
Staffelbach,Argovie
Starrkirch-Wil,Argovie
Staufen,Argovie
Stein AG,Argovie
Stetten AG,Argovie
Stilli,Argovie
Strengelbach,Argovie
Suhr,Argovie
Sulz AG,Argovie
Tegerfelden,Argovie
Tennwil,Argovie
Teufenthal AG,Argovie
Thalheim AG,Argovie
Turgi,Argovie
Tägerig,Argovie
Ueken,Argovie
Uerkheim,Argovie
Uezwil,Argovie
Umiken,Argovie
Unterendingen,Argovie
Unterentfelden,Argovie
Unterkulm,Argovie
Unterlunkhofen,Argovie
Untersiggenthal,Argovie
Veltheim AG,Argovie
Villigen,Argovie
Villmergen,Argovie
Villnachern,Argovie
Vogelsang AG,Argovie
Vordemwald,Argovie
Walde AG,Argovie
Waldhäusern AG,Argovie
Wallbach,Argovie
Waltenschwil,Argovie
Wegenstetten,Argovie
Wettingen,Argovie
Widen,Argovie
Wil AG,Argovie
Wildegg,Argovie
Wiliberg,Argovie
Windisch,Argovie
Wislikofen,Argovie
Wittnau,Argovie
Wittwil,Argovie
Wohlen AG,Argovie
Wohlenschwil,Argovie
Wölflinswil,Argovie
Würenlingen,Argovie
Würenlos,Argovie
Zeihen,Argovie
Zeiningen,Argovie
Zetzwil,Argovie
